pathway	N_GC	N_ChG	RA_GC	RA_ChG	P_wilcoxon	FDR_wilcoxon	Beta	SE	P_maaslin	FDR_maaslin	FC	FC_lower	FC_upper	Beta_ancombc	SE_ancombc	P_ancombc	FDR_ancombc	FC_ancombc	FC_lower_ancombc	FC_upper_ancombc	passed_ss_groupGC	N_GC_V	N_ChG_V	RA_GC_V	RA_ChG_V	P_wilcoxon_V	Beta_V	SE_V	P_maaslin_V	FC_V	FC_lower_V	FC_upper_V	Concordance
NONMEVIPP-PWY: methylerythritol phosphate pathway I	106	106	374.584977358491	418.503297169811	7.13647432977918e-07	1.59921902026415e-05	-0.26745617121763	0.0570015788818108	4.871757313536e-06	8.28198743301121e-05	0.830783131589208	0.798598490376514	0.864264859062985	-0.333715214433292	0.119501543559269	0.00571218870028427	0.0260905365027111	0.716257733049121	0.635580351573155	0.807175896616144	TRUE	50	50	378.69362	441.33896	0.0938953447872955	-0.132192816804602	0.076943552928181	0.0889456826893128	0.912443531928506	0.865054918013355	0.962428143718515	TRUE
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	106	106	126.135475471698	75.5281902830189	9.50436714698843e-07	2.03724043628926e-05	0.417968230744851	0.0875211849011676	3.35843311408372e-06	6.36810586632029e-05	1.33604465733454	1.25740294380832	1.4196048571239	0.351713768486601	0.115119681151073	0.00254061037954124	0.014564196710626	1.42150158693176	1.26692675177501	1.59493574416872	TRUE	50	50	97.83838	85.2556618	0.125910819607669	0.229543978329884	0.132465370886277	0.086266138071166	1.17246428625908	1.06960536538015	1.28521466612543	TRUE
PWY-6612: superpathway of tetrahydrofolate biosynthesis	106	106	98.0590179245283	56.2395588679245	9.94744322605037e-07	2.04337062935118e-05	0.459060183314829	0.0946890115273061	2.42286571329441e-06	4.77789118661657e-05	1.37464603896577	1.28732040221686	1.46789542773512	0.392807920016079	0.119557918382481	0.00119288961429723	0.00904760892074665	1.48113386583537	1.31422876309567	1.66923566895388	TRUE	50	50	75.1113708	64.0100178	0.155570741851699	0.247933942275012	0.142750655241933	0.0855589087390271	1.18750529166186	1.07563103520396	1.31101536825546	TRUE
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	67	30	2.20745443582089	5.04239286666667	1.05902042834869e-06	2.08838828470362e-05	2.43870635939484	0.464949476491286	3.80348105637565e-07	9.16042368187271e-06	5.4215537126824	3.92789641216234	7.48320260394014	-0.0012242492899434	0.152681723423753	0.993619197432874	0.999230143742106	0.998776499797497	0.857352631762963	1.16352882068663	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	106	106	206.494733962264	133.729295283019	1.16601823402105e-06	2.21094995912453e-05	0.398861864953799	0.0759022187294249	3.62803477905097e-07	9.16042368187271e-06	1.31846736794336	1.25089409073297	1.38969095242339	0.332605805173686	0.10103235974441	0.00116671937051912	0.00898738515103008	1.39459744700422	1.26058190715707	1.54286050604751	TRUE	50	50	179.765074	145.4164	0.0535734460149234	0.231227227386348	0.106946785006888	0.0330465622644772	1.17383304480082	1.08996396736797	1.26415556689792	TRUE
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	106	106	259.291422641509	276.147816037736	1.42825616382345e-06	2.60788995838873e-05	-0.228602006197692	0.0489921747901184	5.46411376723416e-06	8.97936029082147e-05	0.853461508599519	0.824965572441981	0.882941750532497	-0.294861361528554	0.110630042080861	0.00829011992347796	0.034344782540123	0.744634815342651	0.666649136562982	0.831743383152194	TRUE	50	50	267.17168	293.86886	0.15758720466165	-0.0717525481739741	0.0547023721355956	0.192689362892653	0.951481460946375	0.916079734700103	0.988251280136682	TRUE
PWY-5505: L-glutamate and L-glutamine biosynthesis	106	106	63.2955323584906	81.6478045283018	1.95208261176859e-06	3.43074045205692e-05	-0.477900142294637	0.123475223964219	0.0001450257238967	0.00125434529615917	0.718021952261649	0.659125291037349	0.782181371190042	-0.544167886713254	0.167435397840252	0.00134396334082965	0.00987228830141399	0.580324478192522	0.490856583466746	0.686099588622996	TRUE	50	50	67.0968376	95.907796	0.00795153900133141	-0.461747991369313	0.18032954521245	0.0119759368034962	0.726105964390752	0.640789522393993	0.822781667144137	TRUE
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	106	106	240.797666037736	155.61340745283	2.01808261885701e-06	3.43074045205692e-05	0.433491477672344	0.0893090428011954	2.36049434775216e-06	4.77789118661657e-05	1.35049797600017	1.26943140082399	1.43674150647029	0.367236868186534	0.108968871243435	0.000894100957321835	0.00740793441728266	1.44373985465795	1.29468574395635	1.60995421294918	TRUE	50	50	183.913336	148.324633	0.0775943772848765	0.304615997606581	0.169533450156049	0.0754495545787775	1.23508984928915	1.09815564574595	1.38909902410136	TRUE
PWY-7560: methylerythritol phosphate pathway II	106	106	315.978062264151	325.386495283019	2.43451733895043e-06	4.00072349367521e-05	-0.168326479287203	0.0433578998913656	0.000138591306783018	0.00124070210034657	0.889874333507539	0.863528453483886	0.917024014947833	-0.234585401126134	0.108337590667879	0.031490470772651	0.0897387404099246	0.790898687368586	0.709692861630006	0.881396400471988	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PWY-2942: L-lysine biosynthesis III	106	106	284.605338679245	321.180773584906	2.83826879208538e-06	4.51376294999384e-05	-0.315085223570523	0.0864333016792678	0.000336574106588578	0.00237044335068813	0.803803506676001	0.757061010470122	0.853431980261959	-0.381345050407122	0.139395255429997	0.00675720775671735	0.029743780571979	0.682942199475778	0.594080583812356	0.785095592304582	TRUE	50	50	303.39481	353.24749	0.294702827609608	-0.190180846585891	0.114237186628863	0.0991489100466995	0.876495842782046	0.809768802205407	0.948721363828654	TRUE
PWY-2941: L-lysine biosynthesis II	106	106	226.837835849057	134.540467735849	2.96495537878158e-06	4.56788438043537e-05	0.403247600646427	0.101659068212145	9.99843760574544e-05	0.000966515635222059	1.32248155483141	1.23250075676919	1.41903155293302	0.336992625239854	0.147466318957569	0.0232986194605681	0.0741046412520006	1.400728733662	1.20867691936745	1.62329647722004	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PWY-7456: &beta;-(1,4)-mannan degradation	101	105	55.5988731980198	73.0821299714286	4.08074952503287e-06	6.09639247224608e-05	-0.948115773104056	0.288774532297692	0.00120203638238006	0.00610931893312754	0.51830895568718	0.424286210017	0.633167346011011	-0.605087552848632	0.176226493818203	0.000721334797479436	0.00657201390527948	0.546026618360998	0.457804040009818	0.651250408258419	TRUE	50	50	60.3890096	85.6096574	0.0133280451276491	-0.456421359884781	0.205461588821437	0.0286223627966438	0.728791804168931	0.632052827977625	0.840337184351002	TRUE
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	104	85	53.3863886538462	18.4153792117647	4.65273407752652e-06	6.74646441241346e-05	2.30518142808387	0.439939969354069	3.90200603081799e-07	9.16042368187271e-06	4.9422960346121	3.64328904765344	6.70446120915795	0.499653110462117	0.207034730980726	0.0167703013230189	0.0590554182303451	1.64814944572622	1.33993134755359	2.02726550162975	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PWY-6700: queuosine biosynthesis I (de novo)	106	106	345.696133018868	382.455577358491	5.53649845397295e-06	7.79855353659619e-05	-0.254656737403147	0.0542569080638219	4.84055673820204e-06	8.28198743301121e-05	0.83818654192658	0.807249392102092	0.870309331837795	-0.320915861536688	0.118987124888917	0.00756338286387887	0.0327083136130902	0.72548428955554	0.644098904389207	0.817153158940734	TRUE	50	50	366.53508	406.83202	0.243996504239883	-0.0832578901963509	0.0791995908151067	0.295733043673681	0.943923672178295	0.893501786518127	0.997190953999822	TRUE
PWY-7977: L-methionine biosynthesis IV	106	106	379.859814150943	383.479575471698	8.88807904218232e-06	0.00011966668570482	-0.181456767923714	0.0487155299614553	0.000251162635825766	0.00188314553109087	0.88181213275067	0.852533069544646	0.912096744683009	-0.247715870226968	0.104938140216012	0.0191618676097809	0.0647041146001506	0.780581698273708	0.702820319806328	0.866946743725009	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PWY-6270: isoprene biosynthesis I	106	106	299.367048113208	314.04496509434	8.98106971821163e-06	0.00011966668570482	-0.193357799824531	0.05163055001518	0.000232957586895426	0.00188275557933517	0.874567838239583	0.843822610202773	0.906433288744487	-0.25961682353859	0.113959585767637	0.0237240139670466	0.0749739672163717	0.771347091233526	0.688268394176607	0.864453954574227	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
VALSYN-PWY: L-valine biosynthesis	106	106	540.163971698113	531.40270754717	1.01720125162528e-05	0.000131968478171385	-0.132444857872649	0.0284371472608733	5.67579505616306e-06	9.02634504093028e-05	0.912284140547354	0.894478056191428	0.930444684845473	-0.198703666704304	0.100636129899355	0.0496381743670189	0.119701528761855	0.819792789241099	0.741307472872291	0.906587673651416	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PWY-4041: &gamma;-glutamyl cycle	106	106	199.933268867925	141.956776415094	1.13950096410449e-05	0.000144044609052182	0.254705166514787	0.0601422948338025	3.41789423025762e-05	0.000401195679885001	1.19309189427813	1.14437736828729	1.24388012873986	0.18844767686944	0.0952757304184719	0.0492454790802245	0.119701528761855	1.20737390775126	1.09765045614301	1.32806554669587	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	106	106	178.722863584906	185.797091509434	1.31554110057596e-05	0.000161453282374504	-0.235542436205586	0.0681577651376241	0.000663753170407213	0.00380500363965995	0.849365587718892	0.810171813565071	0.890455443551562	-0.301803820075867	0.11514648030477	0.00940711722433501	0.0380140064885013	0.739483122403231	0.659053673846916	0.829728002466534	TRUE	50	50	164.810522	189.830324	0.0099291023145613	-0.155890240372601	0.0591047106841684	0.00971331940553253	0.897578335449121	0.861549174836586	0.935114201020999	TRUE
PWY-1042: glycolysis IV	106	106	540.299396226415	547.622556603774	1.34271492441271e-05	0.000161453282374504	-0.155133744282495	0.0350098582886933	1.50888498714988e-05	0.000206633416295802	0.898049115855435	0.876518470325982	0.92010863637453	-0.221392565974297	0.106586084679411	0.0390064906617595	0.105083059542336	0.801402015367899	0.720378399149035	0.891538656620463	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PWY-7858: (5Z)-dodecenoate biosynthesis II	106	101	95.106711990566	53.0155980792079	1.83862798845147e-05	0.000215819904358709	1.24537278504502	0.280364036067566	1.44104050007158e-05	0.000202980847581511	2.37079806487914	1.95207535954387	2.87933733549509	0.699547772729446	0.170565336968805	5.92214924607451e-05	0.00112293060704413	2.01284223946475	1.69720441512662	2.38718085156008	TRUE	50	49	93.6501334	68.6013532857143	0.114408384109125	0.610668116031404	0.354526363602009	0.0881352324518965	1.52696618747666	1.19428052569741	1.95232668332714	TRUE
TRPSYN-PWY: L-tryptophan biosynthesis	106	106	306.953858490566	316.538433962264	2.24691911476422e-05	0.000257611889204363	-0.199922336163465	0.0465803701009541	2.70326184879441e-05	0.000333177022863911	0.870597428444041	0.842937338035882	0.899165155240891	-0.266181445871494	0.112356282741407	0.0187388567438233	0.063944849645318	0.766300072901406	0.684862131669381	0.857421916871554	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I	106	106	207.774064339623	221.659527358491	2.36165984845966e-05	0.000264613251202412	-0.230030787159736	0.0615381522874114	0.000239126281620414	0.00188314553109087	0.852616696705399	0.817013068677608	0.889771852337018	-0.296290496013321	0.106107520403283	0.005715573919458	0.0260905365027111	0.743571392117885	0.668714533353124	0.826807834433835	TRUE	50	50	219.1769	248.73196	0.0646683768751896	-0.12850704207165	0.0610294821944461	0.0377905355133687	0.914777608659046	0.876887382191349	0.954305068471561	TRUE
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	106	106	250.539536792453	165.653375471698	2.93609453967001e-05	0.000317200987261768	0.249428484288874	0.0545411293955531	8.20197366359234e-06	0.00012636165675472	1.18873611043931	1.14463478443978	1.23453660457645	0.183170616225803	0.101847090888665	0.0735360284357379	0.16076341535063	1.20101930398181	1.08472177478259	1.32978557457839	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PWY-5913: partial TCA cycle (obligate autotrophs)	106	106	180.079911320755	117.821507641509	2.96513129845955e-05	0.000317200987261768	0.430254544871538	0.100877776512911	3.02065936509738e-05	0.000363215869998295	1.34747129976812	1.25647047300935	1.44506293040861	0.364001682421605	0.112135143547987	0.00136169493812607	0.00987228830141399	1.43907663528963	1.28642433818634	1.60984326925611	TRUE	50	50	145.7868	117.0540566	0.0925509918166423	0.333911292362573	0.184583255120489	0.0735169799024619	1.26042588882801	1.10905278924012	1.43245969591436	TRUE
HISTSYN-PWY: L-histidine biosynthesis	106	106	343.255820754717	363.635231132075	3.02402563920955e-05	0.000317200987261768	-0.216740853912631	0.0558914476906478	0.000140931678741193	0.00124070210034657	0.860507186520583	0.827807771821571	0.894498267906059	-0.282999922414126	0.120704401449309	0.0199825528468333	0.0665635037397893	0.753519846322211	0.667841556890369	0.850189918466928	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	106	106	359.853603773585	256.715655660377	3.17616371213543e-05	0.000321112859568653	0.222304094398454	0.0468682672528156	3.88280971137112e-06	7.08972291742949e-05	1.1665952413571	1.1293055078441	1.20511628403827	0.156045992072155	0.10443117252516	0.136612068402505	0.2494435174905	1.16887996106515	1.05297008089916	1.29754908345825	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
P122-PWY: heterolactic fermentation	105	103	54.0451475447619	32.2364321097088	3.19158825940446e-05	0.000321112859568653	1.05963985886229	0.272516159259606	0.000135383849333367	0.00123600440224722	2.08441112348533	1.72563064181804	2.51778661459787	0.823751317462071	0.194971278066254	3.58779014433525e-05	0.000842276448170133	2.27903319888724	1.87532136498718	2.76965453420605	TRUE	50	50	47.94620787	41.26526966	0.317502243777754	0.200932161732487	0.298977548795617	0.503124078947925	1.14944079786923	0.934297953486772	1.4141250581525	TRUE
METHGLYUT-PWY: superpathway of methylglyoxal degradation	106	106	37.5587726037736	21.4398845566038	3.74966798882894e-05	0.000369717263698534	0.551275464712862	0.136522421018693	7.5563673291689e-05	0.000760263080261279	1.46538064414848	1.33307046646685	1.61082289815955	0.485043736270983	0.141491686184031	0.000731454173536046	0.00657201390527948	1.62424604575597	1.40994690843216	1.87111670756988	TRUE	50	50	32.56867672	23.91754774	0.0349006801770626	0.49853858402165	0.2263243056456	0.0299552117939068	1.41278172279159	1.2076599476141	1.65274355599624	TRUE
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	106	106	438.936444339623	505.352843396226	4.13159515363284e-05	0.00039244348447059	-0.32482155475293	0.0719896589027125	1.06817873113324e-05	0.000159579428620815	0.798397133048784	0.759535228695118	0.839247421288986	-0.391080939305709	0.131045795314497	0.00317906171942569	0.0171531083837956	0.676325412514545	0.593257504094034	0.771024488449568	TRUE	50	50	474.310382	542.38804	0.282179615892121	-0.167575750113818	0.129144595481578	0.197476966876184	0.890337514187043	0.814100976463048	0.973713227335435	TRUE
PWY-6703: preQ0 biosynthesis	106	106	205.189683962264	222.219235849057	4.25318901979851e-05	0.00039244348447059	-0.25403896771296	0.0586923023247985	2.32465699146244e-05	0.000293860486356662	0.838545534717964	0.805116092158741	0.873363010184123	-0.320298689393407	0.114447760745353	0.00560950264405313	0.0260894792784735	0.725932176446881	0.647428801751841	0.813954404522919	TRUE	50	50	221.711972	258.69454	0.0753044571946875	-0.138277900777486	0.0726334639573449	0.0598730778059419	0.908603078886424	0.863991267046703	0.955518402152164	TRUE
PWY-5484: glycolysis II (from fructose 6-phosphate)	106	106	314.755320754717	251.292043396226	4.33612942177426e-05	0.00039244348447059	0.0996757166519373	0.0270448762950421	0.000290444579708437	0.0020752054753081	1.07153258056299	1.05163265094279	1.09180907437462	0.0334172862127642	0.0899689829024184	0.710690870720853	0.815829921030526	1.03398191562898	0.945017628949241	1.13132133104915	TRUE	-	-	-	-	-	-	-	-	-	-	-	-
